Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Passes_Longos_Certos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Ações_Ofensivas_BemSucedidas_LM,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,Corridas_Progressivas_LM,Passes_TerçoFinal_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Passes_Longos_Certos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Ações_Ofensivas_BemSucedidas_Rank,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,Corridas_Progressivas_Rank,Passes_TerçoFinal_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Ações_Ofensivas_BemSucedidas_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,Passes_TerçoFinal_Certos_Percentil
10,0.551847,0.457782,0.157827,0.485406,0.181311,0.357167,0.483051,0.524588,0.428709,0.952,0.236061,0.132425,Davi Lopes,Ipatinga,Ipatinga,"DMF, LDMF, LCMF",DMF,7,31,0,,6,529,Brazil,Brazil,,0,0,no,MG,Testing,2024,Primeiro Volante Equilibrado,0.132,11,13,15,0.467681,0.360461,0.311234,0.384887,0.499069,0.421688,0.392438,0.463204,0.325616,0.6,0.44557,5,4,9,3,11,8,4.0,5,4,4.0,10,61,69,30,76,15,38,69,61,69,69,23
1,0.33969,0.156193,0.431092,0.0,0.335417,0.129406,0.533898,0.399711,0.597784,0.768,0.304188,0.073677,R. Battaglia,Atlético Mineiro,Atlético Mineiro,"LDMF, LCMF, RCMF",LDMF,7,32,1500000,2024-12-31,8,747,Argentina,"Argentina, Italy",right,187,78,no,MG,Testing,2024,Primeiro Volante Equilibrado,0.074,12,13,7,0.467681,0.360461,0.311234,0.384887,0.499069,0.421688,0.392438,0.463204,0.325616,0.6,0.44557,11,10,4,13,9,12,3.0,7,2,5.0,7,15,23,69,0,30,7,76,46,84,61,46
7,0.116806,0.03419,0.398072,0.168981,0.361001,0.21073,0.0,0.38953,0.027154,0.12,0.303833,0.0,Lucas Vital,Villa Nova,Villa Nova,"DMF, LCMF, RDMF",DMF,7,22,100000,,6,598,Brazil,Brazil,,178,72,no,MG,Testing,2024,Primeiro Volante Equilibrado,0.0,13,13,0,0.467681,0.360461,0.311234,0.384887,0.499069,0.421688,0.392438,0.463204,0.325616,0.6,0.44557,12,12,5,10,8,10,13.0,9,11,12.0,8,7,7,61,23,38,23,0,30,15,7,38
2,0.807317,0.732105,0.586791,0.863234,0.450391,0.435277,0.385417,0.342786,0.086579,0.136213,0.652342,1.0,Wagninho,Madureira,Madureira,"DMF, RCMF, LDMF",DMF,7,23,0,,10,870,Brazil,Brazil,right,186,0,no,RJ,Testing,2024,Primeiro Volante Equilibrado,1.0,1,10,90,0.434634,0.365886,0.427428,0.5714,0.474684,0.408008,0.5625,0.474501,0.345461,0.281728,0.553805,2,2,2,3,6,5,7.0,7,8,7.0,4,80,80,80,70,40,50,30,30,20,30,60
0,0.526829,0.282856,1.0,0.574602,0.627399,1.0,0.739583,0.673506,0.584865,0.431894,0.761473,0.783874,Danilo Barbosa,Botafogo,Botafogo,"DMF, RCB",DMF,7,28,2500000,2025-06-30,8,694,Brazil,Brazil,right,183,74,no,RJ,Testing,2024,Primeiro Volante Equilibrado,0.784,2,10,80,0.434634,0.365886,0.427428,0.5714,0.474684,0.408008,0.5625,0.474501,0.345461,0.281728,0.553805,4,5,1,5,3,1,4.0,3,2,3.0,2,60,50,90,50,70,90,60,70,80,70,80
4,0.0,0.239387,0.350679,0.955815,0.580824,0.842317,0.458333,1.0,0.0,0.0,0.62445,0.617812,Walney,Bangu,Bangu,"DMF, RCMF",DMF,7,27,0,,9,598,Brazil,Brazil,,0,0,no,RJ,Testing,2024,Primeiro Volante Equilibrado,0.618,3,10,70,0.434634,0.365886,0.427428,0.5714,0.474684,0.408008,0.5625,0.474501,0.345461,0.281728,0.553805,10,6,6,2,4,2,5.0,1,10,10.0,6,0,40,40,80,60,80,50,90,0,0,40
8,0.419512,0.390965,0.44104,0.567996,0.265248,0.543213,0.864583,0.0,0.244419,0.169435,1.0,0.583013,Ronald,Nova Iguaçu,Nova Iguaçu,"LDMF, RCMF, LCMF",LDMF,7,27,0,,13,725,Brazil,Brazil,,0,0,no,RJ,Testing,2024,Primeiro Volante Equilibrado,0.583,4,10,60,0.434634,0.365886,0.427428,0.5714,0.474684,0.408008,0.5625,0.474501,0.345461,0.281728,0.553805,6,4,4,6,9,4,3.0,10,6,6.0,1,40,60,60,40,10,60,70,0,40,40,90
1,0.570732,0.186477,0.34458,0.445845,0.34758,0.5701,0.375,0.949523,0.376439,0.295681,0.638387,0.482334,William Oliveira,Boavista,Boavista,"DMF, RCMF",DMF,7,32,300000,,13,1207,Brazil,Brazil,right,182,80,no,RJ,Testing,2024,Primeiro Volante Equilibrado,0.482,5,10,50,0.434634,0.365886,0.427428,0.5714,0.474684,0.408008,0.5625,0.474501,0.345461,0.281728,0.553805,3,7,7,7,7,3,8.0,2,5,4.0,5,70,30,30,30,30,70,20,80,50,60,50
7,1.0,1.0,0.386953,0.0,0.655854,0.284337,0.364583,0.389941,0.163436,0.039867,0.535602,0.459173,Igor Guilherme,Nova Iguaçu,Nova Iguaçu,"RDMF, RCMF",RDMF,7,27,0,,12,846,Brazil,Brazil,,0,0,no,RJ,Testing,2024,Primeiro Volante Equilibrado,0.459,6,10,40,0.434634,0.365886,0.427428,0.5714,0.474684,0.408008,0.5625,0.474501,0.345461,0.281728,0.553805,1,1,5,10,2,6,9.0,6,7,9.0,7,90,90,50,0,80,40,10,40,30,10,30
9,0.370732,0.114393,0.5193,0.657815,0.0,0.229172,1.0,0.037259,0.435873,0.182724,0.269883,0.359173,Albert,Nova Iguaçu,Nova Iguaçu,"LDMF, RDMF, LCMF",LDMF,7,27,0,,14,1245,Brazil,Brazil,right,0,0,no,RJ,Testing,2024,Primeiro Volante Equilibrado,0.359,7,10,30,0.434634,0.365886,0.427428,0.5714,0.474684,0.408008,0.5625,0.474501,0.345461,0.281728,0.553805,7,9,3,4,10,7,1.0,9,4,5.0,9,30,10,70,60,0,30,90,10,60,50,10
