Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Passes_Inteligentes_Certos,Passes_EntreLinhas_Certos,Passes_Chave,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
17,Keké,Água Santa,Água Santa,"LW, LAMF, LWF",LW,10,28,250000,,11,634,Brazil,Brazil,right,177,71,yes,0.996225,1.700742,1.986766,4.257841,1.420947,0.06,0.1425,25.0,0.01,0.14,0.0,0.0,0.0,SP,Testing,2024,0.1540107947864038,0.1714079060121884,0.1627093503992961
18,Lucas Tocantins,São Bernardo FC,São Bernardo FC,"RW, RWF, CF",RW,10,29,200000,2024-04-10,11,771,Brazil,Brazil,right,180,76,no,0.300015,1.93128,1.336139,4.760541,2.081028,0.1,0.148363,0.0,0.15,0.89,0.0,0.0,0.15,SP,Testing,2024,0.1237926051249273,0.1358169813337824,0.1298047932293549
19,Éverton Brito,Inter de Limeira,Inter de Limeira,"RW, RWF",RW,10,28,200000,,11,837,Brazil,Brazil,right,170,66,no,0.471405,3.895273,3.660976,3.07125,1.652856,0.18,0.3525,12.5,0.05,0.94,0.1175,0.0,0.59,SP,Testing,2024,0.4366771738200541,0.4039353181626806,0.4203062459913673
20,Victor Andrade,Portuguesa,Portuguesa,"LW, LAMF, CF",LW,10,28,200000,,8,561,Brazil,Brazil,right,178,72,no,0.7999679999999999,3.047021,2.728835,15.24022,8.981762999999999,0.11,0.9645349999999999,7.692,0.05,0.32,0.16,0.32,0.32,SP,Testing,2024,0.8813670872232529,0.8819320036485465,0.8816495454358998
21,Juninho,Inter de Limeira,Inter de Limeira,LW,LW,10,28,175000,2024-04-10,7,520,Brazil,Brazil,right,170,72,no,0.7999200000000001,3.006,2.405594,3.407214,2.205,0.33,1.204366,14.286,0.2,1.0,0.2,0.40002,0.2,SP,Testing,2024,0.4075365633094982,0.4690250358337883,0.4382807995716433
22,Patrick Brey,Botafogo SP,Botafogo SP,"LW, LWB, LAMF",LW,10,26,125000,,11,574,Brazil,"Brazil, Germany",left,177,67,no,2.03651,4.5472,3.91906,3.449662,1.884,0.06,0.31427,14.286,0.03,0.63,0.0,0.0,0.16,SP,Testing,2024,0.5007927368351673,0.4745503356809244,0.4876715362580459
23,Pablo Thomaz,Guarani,Guarani,"LW, CF, LWF",LW,10,24,75000,,7,541,Brazil,Brazil,right,180,63,no,0.497176,1.831293,0.998265,3.6608,1.33,0.38,0.6639999999999999,20.0,0.02,0.17,0.0,0.0,0.17,SP,Testing,2024,0.003308073892758722,0.02093041982252292,0.01211924685764082
24,Bruno Xavier,Água Santa,Água Santa,"RW, LAMF, RAMF",RW,10,27,50000,2024-04-10,11,875,Brazil,Brazil,right,178,71,no,0.206646,1.4392,1.438744,1.644465,1.030476,0.1,0.617184,7.143,0.12,0.72,0.1025,0.102,0.51,SP,Testing,2024,0.0807268780567131,0.1076110022933094,0.09416894017501126
25,Negueba,Mirassol,Mirassol,"RW, RAMF",RW,10,24,50000,2025-12-09,12,929,Brazil,Brazil,right,171,62,no,0.68,4.36149,2.421072000000001,3.196296,1.741726,0.16,0.291225,5.882,0.1,0.97,0.386628,0.389052,0.19,SP,Testing,2024,0.3584499060412245,0.4253328406832333,0.3918913733622289
26,Wesley Gassova,Corinthians,Corinthians,"LWF, LW",LWF,11,18,0,,11,648,Brazil,Brazil,right,175,71,no,1.109264,3.88613,4.163678,10.140572,7.778656,0.13,0.8328439999999999,5.882,0.1,1.11,0.6928710000000001,0.414,0.28,SP,Testing,2024,1.0,1.0,1.0
27,Bruno Michel,Santo André,Santo André,"LAMF, RW, CF",LAMF,10,24,0,,10,519,Brazil,Brazil,left,166,71,no,0.6932639999999999,4.335561,3.293472,7.802809999999999,4.33713,0.23,0.692325,15.385,0.12,1.04,0.346684,0.35,0.0,SP,Testing,2024,0.7738379592075983,0.8319916451324166,0.8029148021700077
28,Matheus Régis,São Bernardo FC,São Bernardo FC,"LWF, LW, RW",LWF,11,24,0,2026-01-30,12,717,Brazil,Brazil,right,181,72,no,0.2799719999999999,1.113874,0.2799719999999999,4.742354000000001,3.349314,0.32,1.116555,12.5,0.01,0.14,0.14,0.0,0.0,SP,Testing,2024,0.1138275192893948,0.1159393589206535,0.1148834391050241
29,Silvinho,São Bernardo FC,São Bernardo FC,"LW, CF, RW",LW,10,33,0,,10,567,Brazil,Brazil,right,174,72,no,1.767975,3.13854,2.15875,3.333252,1.1775,0.26,0.5866079999999999,33.333,0.04,0.2,0.0,0.196,0.2,SP,Testing,2024,0.2636512787750337,0.3064151334606132,0.2850332061178235
