Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Aéreos_Ganhos,Defesas,Gols_Evitados,Saídas,Interceptações.1,xG_Evitado,Finalizações_por_Gol_Sofrido,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
8,Gabriel Oliveira,Brasil de Pelotas,Brasil de Pelotas,GK,GK,0,28,0,,12,1196,Brazil,Brazil,right,185,80,no,0.7545529999999999,80.39,0.328,2.11,1.28,0.8046875,5.12,RS,Testing,2024,1.0,1.0,1.0
9,Rodrigo Mamá,Guarany de Bagé,Guarany de Bagé,GK,GK,0,40,0,,12,1186,Brazil,Brazil,right,188,90,no,0.608,71.64,0.143,1.67,1.44,0.7165354330708662,3.527777777777778,RS,Testing,2024,0.5795612710785265,0.6118558971410161,0.596
10,Lucas Wingert,Juventude,Juventude,GK,GK,0,24,0,,9,816,Brazil,Brazil,left,200,96,no,0.33,70.37,0.063,1.21,1.1,0.7046979865771812,3.386363636363636,RS,Testing,2024,0.3118781184556523,0.3204835294993869,0.316
11,Caíque,Grêmio,Grêmio,GK,GK,0,26,0,2025-12-31,7,705,Brazil,Brazil,left,198,100,no,0.635727,84.85,0.209,2.3,1.15,0.847980997624703,6.578125,RS,Testing,2024,0.9259382222486702,0.9197815705738519,0.923
12,Fabian Volpi,Caxias,Caxias,GK,GK,0,26,0,,13,1261,Brazil,Brazil,right,186,80,no,0.8462000000000001,62.79,-0.11,2.23,1.0,0.6272727272727272,2.682926829268292,RS,Testing,2024,0.54457200164678,0.5789924638260101,0.562
0,João Paulo,Santos,Santos,GK,GK,0,28,7000000,2027-12-31,15,1505,Brazil,Brazil,right,189,86,no,0.42,78.18,0.111,1.5,1.14,0.7811550151975684,4.569444444444445,SP,Testing,2024,0.6539187025129004,0.6772600328696722,0.666
1,Cleiton,Red Bull Bragantino,Red Bull Bragantino,GK,GK,0,26,4500000,2024-12-31,11,1095,Brazil,Brazil,right,190,82,no,0.82,76.92,0.121,1.89,2.63,0.7694704049844237,4.337837837837838,SP,Testing,2024,0.7746524110366156,0.8548382734533572,0.815
2,Weverton,Palmeiras,Palmeiras,GK,GK,0,36,3000000,2026-12-31,13,1286,Brazil,Brazil,right,189,85,no,0.140007,78.43,0.034,1.19,1.26,0.7843137254901961,4.636363636363636,SP,Testing,2024,0.5049277455323802,0.4781223057633439,0.492
3,Cássio,Corinthians,Corinthians,GK,GK,0,36,1000000,2024-12-31,10,1003,Brazil,Brazil,right,196,92,no,0.180009,58.06,-0.145,1.08,1.79,0.579136690647482,2.376068376068376,SP,Testing,2024,0.008197109691205672,0.02262277077874347,0.015
4,Max Walef,Inter de Limeira,Inter de Limeira,GK,GK,0,30,1000000,2024-06-30,11,1092,Brazil,Brazil,right,185,84,no,0.45,77.19,0.41,1.62,1.44,0.771484375,4.376068376068377,SP,Testing,2024,0.6951747696970076,0.7222824861670079,0.709
5,Jordi,Grêmio Novorizontino,Grêmio Novorizontino,GK,GK,0,30,800000,2024-12-31,13,1290,Brazil,Brazil,right,192,92,no,1.05,76.92,-0.021,3.14,2.44,0.7683823529411765,4.317460317460318,SP,Testing,2024,1.0,1.0,1.0
