Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Finalizações_Bloqueadas,Interceptações_Ajustadas_a_Posse,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Finalizações_Bloqueadas_LM,Interceptações_Ajustadas_a_Posse_LM,Passes_Longos_Certos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Passes_Laterais_Certos_LM,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,Corridas_Progressivas_LM,Passes_TerçoFinal_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Finalizações_Bloqueadas_Rank,Interceptações_Ajustadas_a_Posse_Rank,Passes_Longos_Certos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Passes_Laterais_Certos_Rank,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,Corridas_Progressivas_Rank,Passes_TerçoFinal_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Finalizações_Bloqueadas_Percentil,Interceptações_Ajustadas_a_Posse_Percentil,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Passes_Laterais_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,Passes_TerçoFinal_Certos_Percentil
8,0.427256,0.236947,0.43232,0.617647,0.577899,0.310455,0.329414,0.096258,0.594417,0.058326,0.0,0.096,0.061441,0.351507,Cleylton,Ipatinga,Ipatinga,LCB,LCB,4,31,200000,,7,753,Brazil,Brazil,right,190,83,no,MG,Testing,2024,Zagueiro Equilibrado,0.352,21,26,19,0.466426,0.490949,0.427375,0.402715,0.441541,0.424289,0.405988,0.353756,0.458552,0.31349,0.166578,0.294308,0.29554,15.0,22,12,3.0,7.5,19,17,23,6,23.0,21.0,18.0,25,42,15,53,88,71,26,34,11,76,11,19,30,3
24,0.412523,0.373688,0.352122,0.397059,0.378623,0.273453,0.27089,0.126941,0.3776,0.1134,0.0,0.34,0.136151,0.31859,Lula,Democrata GV,Democrata GV,LCB,LCB,4,32,0,,11,1165,Brazil,Brazil,right,184,69,no,MG,Testing,2024,Zagueiro Equilibrado,0.319,22,26,15,0.466426,0.490949,0.427375,0.402715,0.441541,0.424289,0.405988,0.353756,0.458552,0.31349,0.166578,0.294308,0.29554,16.0,17,17,12.0,16.0,21,20,22,16,21.0,21.0,9.0,20,38,34,34,53,38,19,23,15,38,19,19,65,23
12,0.213628,0.219057,0.70242,0.676471,0.469203,0.084791,0.199987,0.015957,0.367333,0.147908,0.0,0.04,0.0,0.108172,Edson Miranda,Athletic Club,Athletic Club,"LCB, RCB",LCB,4,24,0,,9,882,Brazil,Brazil,right,183,78,no,MG,Testing,2024,Zagueiro Equilibrado,0.108,23,26,11,0.466426,0.490949,0.427375,0.402715,0.441541,0.424289,0.405988,0.353756,0.458552,0.31349,0.166578,0.294308,0.29554,23.0,23,2,2.0,13.0,25,21,25,17,20.0,21.0,25.0,26,11,11,92,92,50,3,19,3,34,23,19,3,0
16,0.281768,0.264428,0.315302,0.551471,0.280797,0.0,0.0,0.0,0.354645,0.183726,0.183821,0.3,0.11787,0.102173,Adryan,Uberlândia,Uberlândia,"RCB, CB",RCB,4,23,0,2024-11-30,7,716,Brazil,Brazil,right,183,79,no,MG,Testing,2024,Zagueiro Equilibrado,0.102,24,26,7,0.466426,0.490949,0.427375,0.402715,0.441541,0.424289,0.405988,0.353756,0.458552,0.31349,0.166578,0.294308,0.29554,20.5,21,18,5.0,22.0,26,26,26,18,17.0,9.0,10.0,22,21,19,30,80,15,0,0,0,30,34,65,61,15
14,0.195212,0.425129,0.602353,0.470588,0.0,0.200276,0.117062,0.080517,0.31703,0.0,0.0,0.084,0.090274,0.064286,Alex Alves,Pouso Alegre,Pouso Alegre,"LCB, CB",LCB,4,31,0,,12,1270,Brazil,Brazil,left,181,84,no,MG,Testing,2024,Zagueiro Equilibrado,0.064,25,26,3,0.466426,0.490949,0.427375,0.402715,0.441541,0.424289,0.405988,0.353756,0.458552,0.31349,0.166578,0.294308,0.29554,24.0,15,6,9.0,26.0,23,23,24,22,25.0,21.0,19.5,23,7,42,76,65,0,11,11,7,15,3,19,25,11
17,0.0,0.0,0.0,0.0,0.068841,0.155535,0.078386,0.200161,0.0,0.908912,1.0,0.204,0.147979,0.0,Jamerson,Uberlândia,Uberlândia,RCB,RCB,4,29,0,,5,530,Brazil,Brazil,right,188,81,no,MG,Testing,2024,Zagueiro Equilibrado,0.0,26,26,0,0.466426,0.490949,0.427375,0.402715,0.441541,0.424289,0.405988,0.353756,0.458552,0.31349,0.166578,0.294308,0.29554,26.0,26,26,26.0,25.0,24,24,20,26,2.0,1.0,13.5,19,0,0,0,0,3,7,7,23,0,92,96,48,26
6,0.925852,0.610961,0.425291,0.446809,1.0,0.687697,0.894227,1.0,0.231723,0.689488,0.804957,0.97541,0.51056,1.0,A. Barboza,Botafogo,Botafogo,LCB,LCB,4,29,2200000,,7,717,Argentina,Argentina,left,193,79,no,RJ,Testing,2024,Zagueiro Equilibrado,1.0,1,29,96,0.397623,0.392871,0.326021,0.392761,0.437632,0.567117,0.436087,0.383359,0.352045,0.383614,0.32597,0.297202,0.262038,2.0,3,7,13.0,1.0,9,3,1,22,5.0,3.0,3.0,5,93,89,75,55,96,68,89,96,24,82,89,89,82
15,1.0,1.0,1.0,0.893617,0.602041,0.411722,0.413865,0.114106,0.104432,0.455993,0.309116,0.22541,0.033173,0.650858,Arthur Edeson,Madureira,Madureira,"LCB, RCB",LCB,4,24,0,,11,1143,Brazil,Brazil,,0,0,no,RJ,Testing,2024,Zagueiro Equilibrado,0.651,2,29,93,0.397623,0.392871,0.326021,0.392761,0.437632,0.567117,0.436087,0.383359,0.352045,0.383614,0.32597,0.297202,0.262038,1.0,1,1,2.0,9.0,23,14,25,26,10.0,13.0,14.0,26,96,96,96,93,68,20,51,13,10,65,55,51,10
3,0.280561,0.471485,0.171852,0.460993,0.408163,0.662901,0.91031,0.74306,0.481352,0.271108,0.236989,0.983607,0.714788,0.59426,Léo,Vasco da Gama,Vasco da Gama,LCB,LCB,4,28,3500000,2025-12-31,10,973,Brazil,Brazil,left,183,76,no,RJ,Testing,2024,Zagueiro Equilibrado,0.594,3,29,89,0.397623,0.392871,0.326021,0.392761,0.437632,0.567117,0.436087,0.383359,0.352045,0.383614,0.32597,0.297202,0.262038,18.0,12,26,11.5,16.0,13,2,3,6,17.0,15.0,2.0,2,37,58,10,60,44,55,93,89,79,41,48,93,93
27,0.547094,0.464752,0.050838,1.0,0.721939,0.496145,0.313929,0.348795,0.251151,0.457287,0.836087,0.397541,0.148762,0.56344,Gabriel Silva,Boavista,Boavista,"CB, LCB, RCB",CB,4,21,0,2024-04-30,10,832,Brazil,Brazil,unknown,0,0,no,RJ,Testing,2024,Zagueiro Equilibrado,0.563,4,29,86,0.397623,0.392871,0.326021,0.392761,0.437632,0.567117,0.436087,0.383359,0.352045,0.383614,0.32597,0.297202,0.262038,9.0,13,28,1.0,2.0,19,17,17,18,9.0,2.0,8.0,17,68,55,3,96,93,34,41,41,37,68,93,72,41
