Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
19,Sánchez,Volta Redonda,Volta Redonda,LB,LB,1,28,0,,11,1097,Brazil,Brazil,left,178,73,no,6.15,2.130964,1.067469,1.63902,4.837999999999999,7.219679999999999,RJ,Testing,2024,0.5538302814690277,0.5533253198294521,0.5535778006492399
20,Gabriel Saulo,Bangu,Bangu,"RB, RW",RB,1,22,0,,11,1084,Brazil,Brazil,,0,0,no,7.31,3.404766,0.499041,0.6639999999999999,2.571425,5.065106,RJ,Testing,2024,0.05816227383015155,0.1292778447347096,0.09372005928243057
21,Paulo Vitor,Sampaio Corrêa RJ,Sampaio Corrêa RJ,LB,LB,1,35,0,,8,583,Brazil,Brazil,left,168,71,no,7.26,4.632,0.924,3.398528,6.329622000000001,10.648953,RJ,Testing,2024,1.0,1.0,1.0
22,Guilherme,Sampaio Corrêa RJ,Sampaio Corrêa RJ,LB,LB,1,31,0,,11,844,Brazil,Brazil,left,173,73,no,8.74,5.651541,1.6,0.74375,3.51984,3.83537,RJ,Testing,2024,0.6592659184252292,0.7082755037202917,0.6837707110727604
23,Lucas Carvalho,Sampaio Corrêa RJ,Sampaio Corrêa RJ,RB,RB,1,27,0,,10,756,Brazil,Brazil,right,174,68,no,6.67,3.92766,0.595395,0.9519999999999998,3.330336,5.711472,RJ,Testing,2024,0.1625042942116952,0.2558035308748807,0.2091539125432879
24,Ronaldo,Portuguesa RJ,Portuguesa RJ,RB,RB,1,25,0,,12,809,Brazil,Brazil,right,181,70,no,7.44,4.31964,1.079976,1.08,4.3197,7.920192000000001,RJ,Testing,2024,0.6690689213744645,0.6663438607484873,0.6677063910614759
25,Joazi,Portuguesa RJ,Portuguesa RJ,"RB, LB, RW",RB,1,27,0,,9,725,Brazil,Brazil,right,168,67,no,6.74,2.854712,0.90596,0.39,1.945278,6.354997,RJ,Testing,2024,0.1762273414107124,0.2155142163240836,0.195870778867398
26,Maicon,Nova Iguaçu,Nova Iguaçu,LB,LB,1,23,0,,12,1113,Brazil,Brazil,,0,0,no,10.98,5.4495,1.296,1.038375,3.892935,6.571110000000001,RJ,Testing,2024,0.7877205104102578,0.8523307556465554,0.8200256330284066
27,Yan,Nova Iguaçu,Nova Iguaçu,RB,RB,1,28,0,,8,592,Brazil,Brazil,right,194,92,no,10.52,5.627065,0.543279,0.544322,3.447288,6.898747999999999,RJ,Testing,2024,0.5121603615564083,0.5306789935908054,0.5214196775736069
0,F. Bustos,Internacional,Internacional,RB,RB,1,27,6500000,2024-12-31,13,1136,Argentina,Argentina,right,167,66,no,11.36,5.595075,0.51688,2.751828,7.397536,16.516317,RS,Testing,2024,0.6290969969921354,0.5820392765653719,0.6055681367787537
1,João Lucas,Juventude,Juventude,RB,RB,1,26,2000000,2025-12-31,12,1128,Brazil,Brazil,right,181,72,no,8.86,5.507693999999999,1.036065,2.395215,4.30743,9.896194000000001,RS,Testing,2024,0.3250377725157922,0.3058327388259483,0.3154352556708703
2,Reinaldo,Grêmio,Grêmio,LB,LB,1,34,1000000,2024-12-31,10,966,Brazil,Brazil,left,178,79,no,6.58,3.183887,1.33607,2.15775,11.50464,12.229137,RS,Testing,2024,0.498854372699912,0.4319781945256732,0.4654162836127926
3,Renê,Internacional,Internacional,LB,LB,1,31,900000,2024-12-31,12,1043,Brazil,Brazil,left,174,72,no,9.35,5.004914,2.835,5.3865,10.673377,31.63552,RS,Testing,2024,1.0,1.0,1.0
4,João Pedro,Grêmio,Grêmio,RB,RB,1,27,600000,2025-12-31,13,1196,Brazil,Brazil,right,179,75,no,7.25,4.332179999999999,0.8677619999999999,1.498346,5.914440999999999,7.958197999999999,RS,Testing,2024,0.2049596269039373,0.2035326589165412,0.2042461429102393
5,Alan Ruschel,Juventude,Juventude,LB,LB,1,34,200000,,12,1086,Brazil,Brazil,left,176,72,no,6.05,2.984124,0.7452,1.493555,6.216418,10.52579,RS,Testing,2024,0.1631150006786301,0.1425207195646407,0.1528178601216354
6,Gedeílson,Ypiranga Erechim,Ypiranga Erechim,"RB, LB",RB,1,31,100000,,11,994,Brazil,Brazil,right,177,65,no,7.42,3.07794,1.717028,1.993068,4.70586,9.505068,RS,Testing,2024,0.3137367189667777,0.2791198741395398,0.2964282965531587
7,Celsinho,Avenida,Avenida,RB,RB,1,35,100000,,6,529,Brazil,Brazil,right,183,73,no,12.42,5.276637000000001,1.359932,2.549932,6.977103,12.2481,RS,Testing,2024,0.6191293066280092,0.5944235413422414,0.6067764239851253
8,Danilo Guimarães,Brasil de Pelotas,Brasil de Pelotas,RB,RB,1,26,0,,11,532,Brazil,Brazil,,0,0,no,11.33,5.076166000000001,1.01625,2.368,5.581695,6.597499999999999,RS,Testing,2024,0.4827125400065307,0.4275611131390628,0.4551368265727967
9,Rodrigo Negueba,Avenida,Avenida,"RB, RAMF, RW",RB,1,24,0,,8,656,Brazil,Brazil,,0,0,no,8.09,4.115381999999999,1.783834,1.644,4.799808,7.410514999999999,RS,Testing,2024,0.3443991759917444,0.3248263657715386,0.3346127708816415
10,Cesar Nunes,Avenida,Avenida,"LB, LDMF",LB,1,24,0,2024-06-30,10,944,Brazil,Brazil,left,184,70,no,7.15,3.720726,0.85875,0.86,5.33628,13.250168,RS,Testing,2024,0.2310027139174829,0.2155490076994387,0.2232758608084608
11,Chicão,Avenida,Avenida,"RB, RDMF, RCMF",RB,1,38,0,,11,598,Brazil,Brazil,right,183,75,no,5.57,1.503786,2.407122,1.655654,3.914324,12.337325,RS,Testing,2024,0.3193678898105704,0.239325182658195,0.2793465362343827
12,Alessandro Vinícius,EC São José,EC São José,"RB, RWB, LB",RB,1,25,0,,11,1015,Brazil,Brazil,right,174,70,no,7.98,4.43424,0.885608,1.77284,4.257822000000001,5.233514,RS,Testing,2024,0.1682564496880384,0.1609290015744969,0.1645927256312677
13,Alan Cardoso,Avenida,Avenida,"LB, LAMF",LB,1,26,0,,9,602,Brazil,Brazil,left,177,66,no,8.67,3.739344,2.094765,0.896577,3.885436,7.324416,RS,Testing,2024,0.4146825650106888,0.3414816269939664,0.3780820960023276
14,David Luís,Santa Cruz RS,Santa Cruz RS,LB,LB,1,28,0,,7,534,Brazil,Brazil,left,180,76,no,9.44,3.540849,0.8432489999999998,2.356532,5.728595,6.742637999999999,RS,Testing,2024,0.3375006024034241,0.299498178010389,0.3184993902069065
15,Rai,Novo Hamburgo,Novo Hamburgo,LB,LB,1,23,0,,11,1043,Brazil,Brazil,,0,0,no,5.57,2.7387,1.6065,1.41678,6.895651,5.666354999999999,RS,Testing,2024,0.3661389633482598,0.2603461852736059,0.3132425743109329
16,Anilson,Novo Hamburgo,Novo Hamburgo,"RB, RCB",RB,1,22,0,,10,774,Brazil,Brazil,right,185,66,no,10.23,5.69625,3.258368,4.18782,9.537278,7.786962999999998,RS,Testing,2024,0.7340043642804512,0.691288030304362,0.7126461972924066
17,Jefinho,Brasil de Pelotas,Brasil de Pelotas,"LB, LAMF",LB,1,22,0,,9,710,Brazil,Brazil,left,0,0,no,6.46,3.29346,0.1275,0.762,4.439484999999999,5.829707999999999,RS,Testing,2024,0.0,0.0,0.0
18,Gabriel Biteco,Brasil de Pelotas,Brasil de Pelotas,"RB, RAMF",RB,1,24,0,,10,705,Brazil,Brazil,,0,0,no,9.7,5.490392000000001,0.765,1.148648,3.063606,4.726926000000001,RS,Testing,2024,0.2611333835401696,0.2221942082676697,0.2416637959039196
19,Lessa,Guarany de Bagé,Guarany de Bagé,RB,RB,1,24,0,,11,953,Brazil,Brazil,right,0,0,no,8.88,4.534974,1.700718,2.453818,4.435782,5.383728,RS,Testing,2024,0.387828827401841,0.3588785704612774,0.3733536989315592
20,João Gabriel,Guarany de Bagé,Guarany de Bagé,"LB, LW",LB,1,24,0,,12,1084,Brazil,Brazil,left,175,68,no,8.72,3.983274,0.997928,1.824822,3.652632000000001,4.479934,RS,Testing,2024,0.2196557991867267,0.1889162142557554,0.204286006721241
21,João Vitor,São Luiz,São Luiz,RB,RB,1,21,0,,11,943,Brazil,Brazil,,0,0,no,10.59,5.440087999999999,1.718576,1.429488,6.584208,6.015,RS,Testing,2024,0.6021515406469515,0.529443696254539,0.5657976184507453
22,Marcelo,Caxias,Caxias,RB,RB,1,34,0,,11,1077,Brazil,Brazil,right,180,76,no,8.52,3.946864,1.433142,3.588858,6.284450000000001,11.486335,RS,Testing,2024,0.4816758299023415,0.4764830614263005,0.479079445664321
23,Márcio Duarte,São Luiz,São Luiz,"LB, LW",LB,1,32,0,,12,1038,Brazil,Brazil,,178,74,no,5.9,1.9964,1.300104,1.0416,6.93855,6.678408000000001,RS,Testing,2024,0.2995576908964064,0.1916279901615749,0.2455928405289906
24,Dudu Mandai,Caxias,Caxias,LB,LB,1,31,0,,13,1160,Brazil,Brazil,left,172,68,no,9.23,3.724588,1.318428,2.639,8.066024,11.014248,RS,Testing,2024,0.5504551827926805,0.5000367334124076,0.525245958102544
0,J. Piquerez,Palmeiras,Palmeiras,"LWB, LCB, LB",LWB,1,25,8000000,2025-12-31,13,1133,Uruguay,"Uruguay, Italy",left,183,80,no,8.82,3.892,0.7928730000000002,1.351148,4.04922,13.5065,SP,Testing,2024,0.4633350172875812,0.428228205733691,0.4368108986866627
1,Welington,São Paulo,São Paulo,"LB, LWB",LB,1,23,3000000,2024-12-31,13,1218,Brazil,Brazil,left,175,73,no,7.68,4.802630000000001,1.69983,1.920852,6.356974,10.196208,SP,Testing,2024,0.6137307061931905,0.576591685073472,0.5886083768719886
2,Igor Vinícius,São Paulo,São Paulo,"RB, RWB",RB,1,26,3000000,2025-12-31,8,563,Brazil,Brazil,right,174,70,no,7.35,4.154289,0.800064,0.48,3.520224,10.391251,SP,Testing,2024,0.2445933086072141,0.1856480845190648,0.2024164504052235
3,Felipe Jonatan,Santos,Santos,LB,LB,1,26,2500000,2025-02-28,13,1006,Brazil,Brazil,left,176,77,no,8.05,4.022620000000001,1.254705,2.327147,6.171388,12.975385,SP,Testing,2024,0.7083493593785533,0.658740617473624,0.6784227711025629
4,Heitor,Guarani,Guarani,RB,RB,1,23,2000000,2024-12-31,9,758,Brazil,Brazil,right,174,67,no,10.09,4.63144,0.235,2.138776,5.10416,11.16193,SP,Testing,2024,0.5140420995013912,0.4680124811690493,0.4827889350073007
5,J. Hurtado,Red Bull Bragantino,Red Bull Bragantino,"RB, RWB",RB,1,22,1500000,2026-12-31,8,681,Ecuador,Ecuador,right,178,69,no,7.93,4.756101,1.850448,1.45468,4.360634999999999,9.38172,SP,Testing,2024,0.4767953249706015,0.5393148202145516,0.5000923330649127
6,Juninho Capixaba,Red Bull Bragantino,Red Bull Bragantino,"LB, LWB",LB,1,26,1300000,2026-12-31,11,906,Brazil,Brazil,left,176,63,no,10.43,4.27025,1.689072,2.781068,8.2467,14.804085,SP,Testing,2024,1.0,1.0,1.0
7,Fágner,Corinthians,Corinthians,RB,RB,1,34,1200000,2024-12-31,10,906,Brazil,Brazil,right,168,67,no,7.15,4.072468,0.1975,1.291992,7.453647999999999,11.91619,SP,Testing,2024,0.3952144899422315,0.3249257724287299,0.3497120716193496
8,Mayke,Palmeiras,Palmeiras,"RWB, RAMF",RWB,1,31,1000000,2025-12-31,7,582,Brazil,Brazil,right,179,68,no,5.57,3.09375,2.16477,2.162284,6.33624,11.752,SP,Testing,2024,0.6217931101856212,0.5468291080368021,0.5775826682263043
9,Warley,Mirassol,Mirassol,LB,LB,1,24,800000,,11,857,Brazil,Brazil,right,172,64,no,7.56,3.254832,0.839958,3.468,10.504768,19.320945,SP,Testing,2024,0.8708544187651628,0.8286945816496859,0.8473429139492521
10,Rodrigo Ferreira,Santos,Mirassol,RB,RB,1,28,800000,2024-05-31,10,919,Brazil,Brazil,right,178,80,no,8.72,3.920147,1.761965,2.152452,5.584675,14.592135,SP,Testing,2024,0.7899591937582569,0.7874653194037825,0.7852923020850974
11,Aderlan,Santos,Santos,"RB, RWB",RB,1,33,800000,2024-12-31,11,837,Brazil,Brazil,right,180,71,no,10.22,5.587998,1.39635,3.5475,6.991613999999999,9.462149,SP,Testing,2024,0.8031837058891524,0.7672255695370297,0.7817279080501702
12,Nathan Mendes,Red Bull Bragantino,Red Bull Bragantino,"RB, RWB",RB,1,21,600000,2024-12-31,9,698,Brazil,Brazil,right,182,79,no,8.51,3.220956,1.6744,1.032966,6.314497,10.187502,SP,Testing,2024,0.5727055746729626,0.5472821869917623,0.5528718354115983
13,Danilo Barcelos,Grêmio Novorizontino,Grêmio Novorizontino,"LB, LWB",LB,1,32,550000,,13,918,Brazil,Brazil,left,186,75,no,6.86,3.236051,1.469196,1.175192,3.823236,8.431542,SP,Testing,2024,0.3535073184863394,0.2876921304946898,0.3096027873792499
14,Hugo,Corinthians,Corinthians,LB,LB,1,26,500000,2024-12-31,12,843,Brazil,Brazil,left,179,73,no,9.72,5.231380000000001,1.38656,1.601743,6.085224,14.41276,SP,Testing,2024,0.8018722204955377,0.7508102840161596,0.7727210576931041
15,Arthur Henrique,São Bernardo FC,São Bernardo FC,"LWB, LB",LWB,1,29,500000,2024-12-31,11,1018,Brazil,Brazil,left,176,68,no,9.13,5.79608,0.3233009999999999,0.9658979999999999,3.97193,5.584176,SP,Testing,2024,0.2330104204785522,0.1845255025912448,0.1959608884719777
16,Douglas Borel,Portuguesa,Portuguesa,"RB, RWB",RB,1,21,500000,2024-12-31,10,801,Brazil,Brazil,right,178,71,yes,4.94,2.47,1.571055,0.9,1.57242,6.404853,SP,Testing,2024,0.198892277655292,0.08937359895727871,0.1302796671312176
17,Júnior Caiçara,Santo André,Santo André,"RB, LB",RB,1,34,450000,2024-06-30,9,602,Brazil,"Brazil, Bulgaria",right,173,65,no,7.92,4.33751,1.793423,2.540436,6.129017999999999,11.06205,SP,Testing,2024,0.699793920857084,0.670600410675271,0.680101690984509
18,Hayner,Santos,Santos,"RB, LB",RB,1,28,400000,,11,876,Brazil,Brazil,right,178,71,no,8.22,3.288132,0.9234680000000001,0.616605,3.6975,8.116416,SP,Testing,2024,0.2773049313087784,0.2346887169326716,0.2439542088456722
19,G. Risso Patrón,Ponte Preta,Ponte Preta,"LB, LWB",LB,1,28,400000,2024-12-31,12,1127,Argentina,Argentina,left,179,71,yes,10.94,3.513699,0.24,1.915118,5.992695,6.545339999999999,SP,Testing,2024,0.3688908270707085,0.328454206878038,0.338129972869133
20,Alex Silva,Água Santa,Água Santa,RB,RB,1,29,300000,,9,817,Brazil,Brazil,right,184,82,no,9.14,3.6366,1.764406,2.7563,6.607224,11.125905,SP,Testing,2024,0.8009665927681338,0.7755586251569825,0.7848353763615764
21,Igor Inocêncio,Ponte Preta,Ponte Preta,"RB, RW",RB,1,25,300000,,12,1139,Brazil,Brazil,right,185,78,no,8.06,4.03,1.42142,1.896,4.344921,8.295525,SP,Testing,2024,0.4242559896180021,0.418870878642286,0.4122007200321014
22,Wallison,Botafogo SP,Botafogo SP,"RWB, RB",RWB,1,22,300000,,11,814,Brazil,Brazil,right,177,70,yes,8.07,2.876868,0.8843559999999999,1.32636,4.646178000000001,6.968481000000001,SP,Testing,2024,0.2861326690955844,0.2405252979921348,0.2514050483738531
