Unnamed: 0,Duelos_Aéreos_Ganhos,Defesas,Gols_Evitados,Saídas,Interceptações.1,xG_Evitado,Finalizações_por_Gol_Sofrido,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Aéreos_Ganhos_LM,Defesas_LM,Gols_Evitados_LM,Saídas_LM,Interceptações.1_LM,xG_Evitado_LM,Finalizações_por_Gol_Sofrido_LM,Duelos_Aéreos_Ganhos_Rank,Defesas_Rank,Gols_Evitados_Rank,Saídas_Rank,Interceptações.1_Rank,xG_Evitado_Rank,Finalizações_por_Gol_Sofrido_Rank,Duelos_Aéreos_Ganhos_Percentil,Defesas_Percentil,Gols_Evitados_Percentil,Saídas_Percentil,Interceptações.1_Percentil,xG_Evitado_Percentil,Finalizações_por_Gol_Sofrido_Percentil
7,0.146737,0.216018,0.076661,0.0,0.680328,0.216929,0.544598,0.0,Gabriel Leite,Bangu,Bangu,GK,GK,0,36,0,,9,969,Brazil,Brazil,right,187,82,no,RJ,Testing,2024,Goleiro,0.0,12,12,0,0.512307,0.368242,0.447757,0.450142,0.589481,0.368213,0.593804,11,9.0,10,12.0,6.0,9,8,8,25,16,0,50,25,33
8,0.880388,0.797824,1.0,0.84106,0.823529,0.803843,0.625661,1.0,Gabriel Oliveira,Brasil de Pelotas,Brasil de Pelotas,GK,GK,0,28,0,,12,1196,Brazil,Brazil,right,185,80,no,RS,Testing,2024,Goleiro,1.0,1,13,92,0.52853,0.480961,0.557518,0.49516,0.564103,0.483806,0.334362,2,2.0,1,5.0,4.0,2,2,84,84,92,61,69,84,84
11,0.725303,1.0,0.845655,0.966887,0.696078,1.0,1.0,0.923,Caíque,Grêmio,Grêmio,GK,GK,0,26,0,2025-12-31,7,705,Brazil,Brazil,left,198,100,no,RS,Testing,2024,Goleiro,0.923,2,13,84,0.52853,0.480961,0.557518,0.49516,0.564103,0.483806,0.334362,3,1.0,2,3.0,6.0,1,1,76,92,84,76,53,92,92
3,0.629731,0.650499,0.453956,1.0,1.0,0.648528,0.429408,0.774,Alexander,Ypiranga Erechim,Ypiranga Erechim,GK,GK,0,24,100000,2025-12-31,8,804,Brazil,Brazil,right,190,85,yes,RS,Testing,2024,Goleiro,0.774,3,13,76,0.52853,0.480961,0.557518,0.49516,0.564103,0.483806,0.334362,5,3.0,9,1.0,1.0,3,3,61,76,30,92,92,76,76
2,0.522057,0.607434,0.372244,0.980132,0.901961,0.613201,0.392682,0.708,Ruan Carneiro,Avenida,Avenida,GK,GK,0,33,150000,,11,1123,Brazil,Brazil,right,195,89,no,RS,Testing,2024,Goleiro,0.708,4,13,69,0.52853,0.480961,0.557518,0.49516,0.564103,0.483806,0.334362,8,5.0,12,2.0,3.0,5,5,38,61,7,84,76,61,61
1,0.613417,0.592475,0.491569,0.271523,0.794118,0.590991,0.370802,0.605,Anthoni,Internacional,Internacional,GK,GK,0,22,300000,2024-12-31,13,1238,Brazil,Brazil,right,193,88,no,RS,Testing,2024,Goleiro,0.605,5,13,61,0.52853,0.480961,0.557518,0.49516,0.564103,0.483806,0.334362,6,6.0,8,7.0,5.0,6,6,53,53,38,46,61,53,53
9,0.689115,0.401179,0.760052,0.549669,0.980392,0.404438,0.216895,0.596,Rodrigo Mamá,Guarany de Bagé,Guarany de Bagé,GK,GK,0,40,0,,12,1186,Brazil,Brazil,right,188,90,no,RS,Testing,2024,Goleiro,0.596,6,13,53,0.52853,0.480961,0.557518,0.49516,0.564103,0.483806,0.334362,4,9.0,3,6.0,2.0,9,9,69,30,76,53,84,30,30
7,0.561211,0.647779,0.64332,0.218543,0.0,0.646164,0.426872,0.585,Fábio Rampi,EC São José,EC São José,GK,GK,0,35,0,,12,1229,Brazil,Brazil,right,184,80,no,RS,Testing,2024,Goleiro,0.585,7,13,46,0.52853,0.480961,0.557518,0.49516,0.564103,0.483806,0.334362,7,4.0,5,10.0,13.0,4,4,46,69,61,23,0,69,69
12,1.0,0.0,0.431907,0.92053,0.54902,0.0,0.0,0.562,Fabian Volpi,Caxias,Caxias,GK,GK,0,26,0,,13,1261,Brazil,Brazil,right,186,80,no,RS,Testing,2024,Goleiro,0.562,8,13,38,0.52853,0.480961,0.557518,0.49516,0.564103,0.483806,0.334362,1,13.0,10,4.0,9.0,13,13,92,0,23,69,30,0,0
0,0.469851,0.511333,0.405966,0.225166,0.578431,0.516217,0.303233,0.479,A. Marchesín,Grêmio,Grêmio,GK,GK,0,35,3000000,2025-06-30,7,701,Argentina,"Argentina, Italy",right,188,85,no,RS,Testing,2024,Goleiro,0.479,9,13,30,0.52853,0.480961,0.557518,0.49516,0.564103,0.483806,0.334362,9,8.0,11,9.0,8.0,8,8,30,38,15,30,38,38,38
