Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,Acelerações,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Deep_Completed_Crosses,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
24,Ronaldo,Portuguesa RJ,Portuguesa RJ,RB,RB,1,25,0,,12,809,Brazil,Brazil,right,181,70,no,7.44,1.08,4.3197,1.8,0.8398679999999998,0.72,0.48,1.32,0.72,0.06,0.48,1.67994,0.24,1.08,1.080024,RJ,Testing,2024,0.3494042243414092,0.3613534795316634,0.3592205939295214
25,Joazi,Portuguesa RJ,Portuguesa RJ,"RB, LB, RW",RB,1,27,0,,9,725,Brazil,Brazil,right,168,67,no,6.74,0.39,1.945278,1.56,2.07644,0.39,1.035,1.3,0.52,0.08,0.65,1.16468,0.26,0.78,0.7763800000000001,RJ,Testing,2024,0.0,0.0,0.0
26,Maicon,Nova Iguaçu,Nova Iguaçu,LB,LB,1,23,0,,12,1113,Brazil,Brazil,,0,0,no,10.98,1.038375,3.892935,3.98,4.152194,1.3,2.93626,1.47,0.61,0.05,0.43,2.76374,0.43,0.69,0.606606,RJ,Testing,2024,0.6299641520387244,0.5409077139724743,0.5917646545819515
27,Yan,Nova Iguaçu,Nova Iguaçu,RB,RB,1,28,0,,8,592,Brazil,Brazil,right,194,92,no,10.52,0.544322,3.447288,2.9,2.537355,1.09,1.815312,0.91,0.18,0.08,0.54,1.091,0.18,0.91,0.7243719999999999,RJ,Testing,2024,0.4582823294764758,0.4098427137781366,0.4387548554784336
0,F. Bustos,Internacional,Internacional,RB,RB,1,27,6500000,2024-12-31,13,1136,Argentina,Argentina,right,167,66,no,11.36,2.751828,7.397536,2.32,1.292256,1.03,0.5989059999999999,1.2,0.09,0.1,0.86,2.583484,0.77,1.2,1.54707,RS,Testing,2024,0.6649109875382857,0.6638087672345427,0.6643598773864142
1,João Lucas,Juventude,Juventude,RB,RB,1,26,2000000,2025-12-31,12,1128,Brazil,Brazil,right,181,72,no,8.86,2.395215,4.30743,3.11,2.949786,1.04,1.83311,1.6,0.64,0.07,0.88,2.39418,0.32,0.64,0.8773409999999999,RS,Testing,2024,0.3925873470466726,0.4078988623518919,0.4002431046992823
2,Reinaldo,Grêmio,Grêmio,LB,LB,1,34,1000000,2024-12-31,10,966,Brazil,Brazil,left,178,79,no,6.58,2.15775,11.50464,2.16,1.74486,1.23,1.33704,1.03,0.21,0.09,1.13,9.557904,0.92,0.41,1.542816,RS,Testing,2024,0.8873362232084447,0.8301500489556505,0.8587431360820477
3,Renê,Internacional,Internacional,LB,LB,1,31,900000,2024-12-31,12,1043,Brazil,Brazil,left,174,72,no,9.35,5.3865,10.673377,1.61,1.22774,0.47,0.470871,1.89,0.09,0.16,1.32,10.10304,1.13,1.04,2.076099,RS,Testing,2024,1.0,1.0,1.0
4,João Pedro,Grêmio,Grêmio,RB,RB,1,27,600000,2025-12-31,13,1196,Brazil,Brazil,right,179,75,no,7.25,1.498346,5.914440999999999,2.99,2.441376,1.18,1.736232,1.34,0.24,0.12,0.79,4.17648,0.47,0.79,0.70875,RS,Testing,2024,0.4937225512446229,0.4549163199478633,0.4743194355962431
5,Alan Ruschel,Juventude,Juventude,LB,LB,1,34,200000,,12,1086,Brazil,Brazil,left,176,72,no,6.05,1.493555,6.216418,1.33,2.319884,0.58,0.415,1.49,0.5,0.09,0.99,4.058714999999999,0.17,0.5,0.995,RS,Testing,2024,0.3668416904821585,0.3600243202959779,0.3634330053890682
