Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Acelerações,Passes_Longos_Recebidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Deep_Completions,Deep_Completed_Crosses,Passes_Chave,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
7,Matheuzinho,EC São José,EC São José,"LW, RB, LWF",LW,10,29,150000,,7,678,Brazil,Brazil,right,169,67,no,3.318654,0.66,1.595,0.13,1.86,0.05,0.265794,0.0,0.03,0.4,0.13,0.8,0.13,RS,Testing,2024,0.07978664846452238,0.04718222114521638,0.06348443480486939
8,Mateus Anderson,Ypiranga Erechim,Ypiranga Erechim,"RW, RAMF",RW,10,29,0,,11,737,Brazil,Brazil,left,175,65,no,3.298659,2.56,1.951817,0.98,2.2,0.15,0.9784860000000001,3.846,0.14,1.71,0.98,1.1,0.24,RS,Testing,2024,0.6601268111113254,0.6682064140173719,0.6641666125643487
9,Jhonatan,Ypiranga Erechim,Ypiranga Erechim,"RW, LW, RAMF",RW,10,30,0,,11,654,Brazil,Brazil,,0,0,no,5.090312,0.96,1.652865,1.51,1.51,0.08,0.551056,11.111,0.08,0.69,0.83,1.38,0.28,RS,Testing,2024,0.3982507578626152,0.4277483326508154,0.4129995452567152
10,Gabriel Lima,Ypiranga Erechim,Ypiranga Erechim,"LAMF, LW, LWF",LAMF,10,25,0,,10,604,Brazil,Brazil,right,183,71,no,6.85328,2.68,4.4731,0.75,1.94,0.06,0.595496,0.0,0.07,0.89,1.79,0.6,0.6,RS,Testing,2024,0.6991185298492871,0.6536783710459706,0.6763984504476289
11,Felipe Cruz,Avenida,Avenida,"LAMF, LW",LAMF,10,23,0,2024-12-31,9,593,Brazil,Brazil,right,185,74,no,5.010543999999999,1.82,1.822766,0.76,0.91,0.12,0.4543160000000001,0.0,0.04,0.46,0.3,0.91,0.46,RS,Testing,2024,0.3034659822250818,0.3517767840579438,0.3276213831415128
12,Maikon Aquino,Avenida,Avenida,"RAMF, RW",RAMF,10,30,0,,8,564,Brazil,Brazil,right,180,77,no,3.991059999999999,3.35,0.955778,0.32,1.76,0.16,0.32,12.5,0.25,1.28,0.8,0.96,0.96,RS,Testing,2024,0.7906008267037742,0.8276511337418232,0.8091259802227987
13,Pablo Bueno,Santa Cruz RS,Santa Cruz RS,"LW, LAMF, RAMF",LW,10,33,0,,11,708,Brazil,Brazil,,0,0,no,4.06819,1.91,2.034032,1.53,2.16,0.18,0.5085459999999999,7.143,0.18,1.4,0.64,0.51,0.76,RS,Testing,2024,0.6399027450233762,0.6799644278727414,0.6599335864480588
14,Anderson Tanque,Novo Hamburgo,Novo Hamburgo,"RW, RAMF, RWB",RW,10,26,0,,11,793,Brazil,Brazil,,0,0,no,2.690198,1.41,0.8977240000000001,1.15,0.9,0.06,0.126654,33.333,0.06,0.51,0.38,0.51,0.26,RS,Testing,2024,0.2740233523499165,0.2738256606637101,0.2739245065068133
15,Marcos Calazans,EC São José,EC São José,"RW, RWF, AMF",RW,10,27,0,,10,756,Brazil,Brazil,left,172,68,no,3.45348,0.95,1.664385,0.6,0.95,0.07,0.355738,28.571,0.05,1.07,0.24,0.48,0.48,RS,Testing,2024,0.3504552052704236,0.3561659534451472,0.3533105793577854
16,Wilson Júnior,Guarany de Bagé,Guarany de Bagé,"RW, LW",RW,10,32,0,,11,724,Brazil,Brazil,right,177,74,no,9.56862,1.99,7.580832,1.37,1.49,0.1,0.3728819999999999,14.286,0.13,0.62,0.5,0.99,0.37,RS,Testing,2024,0.66041291303334,0.6311287372749993,0.6457708251541697
17,Mauri,Guarany de Bagé,Guarany de Bagé,"LW, RW",LW,10,31,0,,9,606,Brazil,Brazil,left,171,65,no,3.712797000000001,1.93,2.07861,0.3,1.63,0.09,0.595496,11.111,0.01,0.3,0.45,0.59,0.0,RS,Testing,2024,0.3876001423641636,0.3595140013223332,0.3735570718432483
18,Arêz,Guarany de Bagé,Guarany de Bagé,"RW, RCMF, LCMF",RW,10,29,0,,11,755,Brazil,Brazil,right,175,72,no,0.9553179999999999,0.6,0.36,0.12,0.83,0.05,0.118607,0.0,0.03,0.72,0.48,0.48,0.24,RS,Testing,2024,0.0,0.0,0.0
19,Gustavo Nunes,Grêmio U20,Grêmio,"LW, LWF",LW,10,18,0,,9,798,Brazil,Brazil,unknown,0,0,no,7.670592,3.83,5.30043,2.37,1.92,0.24,0.9024,4.0,0.14,0.9,1.13,1.13,0.79,RS,Testing,2024,0.977026575031423,0.9638600573819042,0.9704433162066636
20,Gabriel Pereira,São Luiz,São Luiz,"RW, LW, CF",RW,10,28,0,,11,759,Brazil,Brazil,right,170,72,no,5.452092,3.44,3.555331,0.71,1.42,0.15,0.4732859999999999,0.0,0.05,0.71,1.07,0.71,0.24,RS,Testing,2024,0.6074353789254129,0.5838586721809026,0.5956470255531577
