Unnamed: 0,Duelos_Aéreos_Ganhos,Passes_Curtos_Médios_Certos,Passes_Longos_Certos,Passes_Progressivos_Certos,Defesas,Gols_Evitados,Saídas,Interceptações.1,xG_Evitado,Finalizações_por_Gol_Sofrido,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Aéreos_Ganhos_LM,Passes_Curtos_Médios_Certos_LM,Passes_Longos_Certos_LM,Passes_Progressivos_Certos_LM,Defesas_LM,Gols_Evitados_LM,Saídas_LM,Interceptações.1_LM,xG_Evitado_LM,Finalizações_por_Gol_Sofrido_LM,Duelos_Aéreos_Ganhos_Rank,Passes_Curtos_Médios_Certos_Rank,Passes_Longos_Certos_Rank,Passes_Progressivos_Certos_Rank,Defesas_Rank,Gols_Evitados_Rank,Saídas_Rank,Interceptações.1_Rank,xG_Evitado_Rank,Finalizações_por_Gol_Sofrido_Rank,Duelos_Aéreos_Ganhos_Percentil,Passes_Curtos_Médios_Certos_Percentil,Passes_Longos_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Defesas_Percentil,Gols_Evitados_Percentil,Saídas_Percentil,Interceptações.1_Percentil,xG_Evitado_Percentil,Finalizações_por_Gol_Sofrido_Percentil
8,0.456516,0.0,0.234984,0.412404,0.326175,0.562181,0.324786,1.0,0.323232,0.630141,0.542302,Anderson Max,Audax Rio,Audax Rio,GK,GK,0,37,0,,9,959,Brazil,Brazil,right,189,84,no,RJ,Testing,2024,Goleiro Líbero,0.542,9,12,25,0.512307,0.384311,0.398033,0.430963,0.368242,0.447757,0.450142,0.589481,0.368213,0.593804,8,12,10,8,8.0,5,9.0,1.0,8,7,33,0,16,33,33,58,25,91,33,41
2,0.638553,0.25825,0.503012,0.437286,0.180647,0.446337,0.111111,0.327869,0.17794,0.518769,0.368037,R. Fernández,Botafogo,Botafogo,GK,GK,0,35,600000,2024-12-31,11,1154,Paraguay,Paraguay,right,191,81,no,RJ,Testing,2024,Goleiro Líbero,0.368,10,12,16,0.512307,0.384311,0.398033,0.430963,0.368242,0.447757,0.450142,0.589481,0.368213,0.593804,4,9,4,7,11.0,6,11.0,9.0,11,10,66,25,66,41,8,50,8,25,8,16
10,0.624967,0.370811,0.441705,0.50381,0.0,0.0,0.367521,0.57377,0.0,0.426459,0.299329,Paulo Henrique,Volta Redonda,Volta Redonda,GK,GK,0,29,0,,11,1171,Brazil,Brazil,right,184,75,no,RJ,Testing,2024,Goleiro Líbero,0.299,11,12,8,0.512307,0.384311,0.398033,0.430963,0.368242,0.447757,0.450142,0.589481,0.368213,0.593804,5,6,5,3,12.0,12,7.5,8.0,12,11,58,50,58,75,0,0,37,33,0,8
7,0.146737,1.0,0.600144,0.451734,0.216018,0.076661,0.0,0.680328,0.216929,0.544598,0.0,Gabriel Leite,Bangu,Bangu,GK,GK,0,36,0,,9,969,Brazil,Brazil,right,187,82,no,RJ,Testing,2024,Goleiro Líbero,0.0,12,12,0,0.512307,0.384311,0.398033,0.430963,0.368242,0.447757,0.450142,0.589481,0.368213,0.593804,11,1,2,5,9.0,10,12.0,6.0,9,8,8,91,83,58,25,16,0,50,25,33
8,0.880388,0.56826,0.614463,0.562699,0.797824,1.0,0.84106,0.823529,0.803843,0.625661,1.0,Gabriel Oliveira,Brasil de Pelotas,Brasil de Pelotas,GK,GK,0,28,0,,12,1196,Brazil,Brazil,right,185,80,no,RS,Testing,2024,Goleiro Líbero,1.0,1,13,92,0.52853,0.434288,0.583548,0.613105,0.480961,0.557518,0.49516,0.564103,0.483806,0.334362,2,4,8,8,2.0,1,5.0,4.0,2,2,84,69,38,38,84,92,61,69,84,84
11,0.725303,0.0,0.829559,1.0,1.0,0.845655,0.966887,0.696078,1.0,1.0,0.948229,Caíque,Grêmio,Grêmio,GK,GK,0,26,0,2025-12-31,7,705,Brazil,Brazil,left,198,100,no,RS,Testing,2024,Goleiro Líbero,0.948,2,13,84,0.52853,0.434288,0.583548,0.613105,0.480961,0.557518,0.49516,0.564103,0.483806,0.334362,3,13,2,1,1.0,2,3.0,6.0,1,1,76,0,84,92,92,84,76,53,92,92
3,0.629731,0.423314,0.396277,0.390475,0.650499,0.453956,1.0,1.0,0.648528,0.429408,0.767563,Alexander,Ypiranga Erechim,Ypiranga Erechim,GK,GK,0,24,100000,2025-12-31,8,804,Brazil,Brazil,right,190,85,yes,RS,Testing,2024,Goleiro Líbero,0.768,3,13,76,0.52853,0.434288,0.583548,0.613105,0.480961,0.557518,0.49516,0.564103,0.483806,0.334362,5,7,11,11,3.0,9,1.0,1.0,3,3,61,46,15,15,76,30,92,92,76,76
2,0.522057,0.868794,0.404946,0.539313,0.607434,0.372244,0.980132,0.901961,0.613201,0.392682,0.705614,Ruan Carneiro,Avenida,Avenida,GK,GK,0,33,150000,,11,1123,Brazil,Brazil,right,195,89,no,RS,Testing,2024,Goleiro Líbero,0.706,4,13,69,0.52853,0.434288,0.583548,0.613105,0.480961,0.557518,0.49516,0.564103,0.483806,0.334362,8,2,10,9,5.0,12,2.0,3.0,5,5,38,84,23,30,61,7,84,76,61,61
7,0.561211,0.389608,0.737555,0.815597,0.647779,0.64332,0.218543,0.0,0.646164,0.426872,0.629467,Fábio Rampi,EC São José,EC São José,GK,GK,0,35,0,,12,1229,Brazil,Brazil,right,184,80,no,RS,Testing,2024,Goleiro Líbero,0.629,5,13,61,0.52853,0.434288,0.583548,0.613105,0.480961,0.557518,0.49516,0.564103,0.483806,0.334362,7,8,5,4,4.0,5,10.0,13.0,4,4,46,38,61,69,69,61,23,0,69,69
1,0.613417,0.668977,0.413147,0.497345,0.592475,0.491569,0.271523,0.794118,0.590991,0.370802,0.626353,Anthoni,Internacional,Internacional,GK,GK,0,22,300000,2024-12-31,13,1238,Brazil,Brazil,right,193,88,no,RS,Testing,2024,Goleiro Líbero,0.626,6,13,53,0.52853,0.434288,0.583548,0.613105,0.480961,0.557518,0.49516,0.564103,0.483806,0.334362,6,3,9,10,6.0,8,7.0,5.0,6,6,53,76,30,23,53,38,46,61,53,53
9,0.689115,0.486867,0.782513,0.734942,0.401179,0.760052,0.549669,0.980392,0.404438,0.216895,0.590863,Rodrigo Mamá,Guarany de Bagé,Guarany de Bagé,GK,GK,0,40,0,,12,1186,Brazil,Brazil,right,188,90,no,RS,Testing,2024,Goleiro Líbero,0.591,7,13,46,0.52853,0.434288,0.583548,0.613105,0.480961,0.557518,0.49516,0.564103,0.483806,0.334362,4,5,4,5,9.0,3,6.0,2.0,9,9,69,61,69,61,30,76,53,84,30,30
0,0.469851,0.22777,0.667208,0.729644,0.511333,0.405966,0.225166,0.578431,0.516217,0.303233,0.476938,A. Marchesín,Grêmio,Grêmio,GK,GK,0,35,3000000,2025-06-30,7,701,Argentina,"Argentina, Italy",right,188,85,no,RS,Testing,2024,Goleiro Líbero,0.477,8,13,38,0.52853,0.434288,0.583548,0.613105,0.480961,0.557518,0.49516,0.564103,0.483806,0.334362,9,11,7,6,8.0,11,9.0,8.0,8,8,30,15,46,53,38,15,30,38,38,38
