Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Finalizações_Bloqueadas,Interceptações_Ajustadas_a_Posse,Passes_Laterais_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
17,Willian Gomes,Ypiranga Erechim,Ypiranga Erechim,"LCB, LB",LCB,4,34,0,,8,655,Brazil,"Brazil, Equatorial Guinea",left,183,0,no,5.63,2.19989,1.373643,0.0,5.71,16.899132,RS,Testing,2024,0.2561019814973687,0.2653371695875867,0.2607195755424777
18,Heitor,Ypiranga Erechim,Ypiranga Erechim,RCB,RCB,4,34,0,,9,850,Brazil,Brazil,right,190,78,no,6.56,3.070440000000001,3.2798,0.85,5.47,19.484208,RS,Testing,2024,0.4752430634699294,0.4727786731007379,0.4740108682853336
19,Rafael Goiano,Avenida,Avenida,RCB,RCB,4,34,0,,10,1010,Brazil,Brazil,right,188,84,no,5.88,2.584044,1.068518,0.36,4.91,17.109,RS,Testing,2024,0.2063881675278919,0.2001662067384422,0.203277187133167
20,Thiago Sales,Santa Cruz RS,Santa Cruz RS,"LCB, LB",LCB,4,36,0,,11,1063,Brazil,Brazil,right,190,78,no,8.55,3.728277,2.287971,0.93,6.02,18.204492,RS,Testing,2024,0.6507175223001422,0.6453579721812772,0.6480377472407097
21,Felipe Santiago,Novo Hamburgo,Novo Hamburgo,"LCB, RCB",LCB,4,21,0,,7,563,Brazil,Brazil,unknown,0,0,no,9.3,3.7575,3.04017,0.54,7.75,9.30372,RS,Testing,2024,0.6783052242991034,0.7183036665511932,0.6983044454251482
22,Itambé,EC São José,EC São José,"LCB, LB, LWB",LCB,4,23,0,2024-05-31,10,890,Brazil,Brazil,,0,0,no,6.98,2.73052,2.121984,0.1,6.06,6.172512,RS,Testing,2024,0.2626125567192781,0.2260443639274768,0.2443284603233775
23,Jadson,EC São José,EC São José,LCB,LCB,4,31,0,,10,850,Brazil,Brazil,left,186,78,no,9.11,4.657072,2.433795,0.64,5.94,6.985364999999999,RS,Testing,2024,0.5201873960283314,0.534798013837454,0.5274927049328926
24,Tiago Pedra,EC São José,EC São José,"RCB, CB",RCB,4,34,0,,10,874,Brazil,Brazil,right,180,78,no,7.72,3.912572,2.675214,0.72,5.08,14.618178,RS,Testing,2024,0.4265239175971635,0.4117193160186571,0.4191216168079103
25,Bruno Gabriel,Brasil de Pelotas,Brasil de Pelotas,LCB,LCB,4,26,0,,11,898,Brazil,Brazil,,190,0,no,8.62,3.507213000000001,1.603089,0.9,5.66,11.527582,RS,Testing,2024,0.4040584326186258,0.4198117867126985,0.4119351096656622
26,Saulo,Guarany de Bagé,Guarany de Bagé,"LCB, LB",LCB,4,28,0,,11,1073,Brazil,Brazil,right,190,84,no,7.47,2.768085,1.1725,0.5,5.11,11.747624,RS,Testing,2024,0.2523711246210536,0.2414153271932618,0.2468932259071577
